date,Region,County,market,latitude,longitude,category,commodity,unit,price
1/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize,KG,16.13
1/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize (white),90 KG,1480.0
1/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans,KG,33.63
1/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans (dry),90 KG,3246.0
1/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,cereals and tubers,Maize (white),KG,17.0
1/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,cereals and tubers,Sorghum,90 KG,1800.0
1/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,pulses and nuts,Beans (dry),KG,39.0
1/15/2006,Eastern,MARSABIT,Marsabit,2.33,37.98,cereals and tubers,Maize (white),KG,21.0
1/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Bread,400 G,26.0
1/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize,KG,15.48
1/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize (white),90 KG,1399.0
1/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Potatoes (Irish),50 KG,664.43
1/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Sorghum,90 KG,1960.0
1/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,milk and dairy,"Milk (cow, pasteurized)",500 ML,22.0
1/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans,KG,42.31
1/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans (dry),90 KG,3175.0
1/15/2006,North Eastern,MANDERA,Mandera,3.94,41.86,cereals and tubers,Maize (white),KG,30.0
1/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize,KG,14.84
1/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1320.0
1/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,39.61
1/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize,KG,12.96
1/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize (white),90 KG,1192.0
2/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize,KG,16.41
